5,CNF,0.412575,-1
5,3CNF,0.496264,-1
5,VC1,0.146074,1
5,VC2,0.030289,2
5,VC1-REF,0.032174,1
5,VC2-REF,0.06881,1
5,CNF,0.346404,-1
5,3CNF,0.656492,-1
5,VC1,0.063186,1
5,VC2,0.081849,1.33333
5,VC1-REF,0.065022,1
5,VC2-REF,0.064256,1
5,CNF,0.27879,-1
5,3CNF,0.660758,-1
5,VC1,0.035359,1
5,VC2,0.055491,1.33333
5,VC1-REF,0.031623,1
5,VC2-REF,0.061826,1
5,CNF,0.138111,-1
5,3CNF,0.264847,-1
5,VC1,0.031977,1
5,VC2,0.054727,2
5,VC1-REF,0.033586,1
5,VC2-REF,0.063514,1
5,CNF,0.151641,-1
5,3CNF,0.300284,-1
5,VC1,0.041891,1
5,VC2,0.060621,2
5,VC1-REF,0.064432,1
5,VC2-REF,0.063906,1
5,CNF,0.321592,-1
5,3CNF,0.622366,-1
5,VC1,0.03545,1
5,VC2,0.05273,1.33333
5,VC1-REF,0.044561,1
5,VC2-REF,0.069342,1
5,CNF,0.146315,-1
5,3CNF,0.25952,-1
5,VC1,0.033498,1
5,VC2,0.055182,2
5,VC1-REF,0.038614,1
5,VC2-REF,0.032659,1
5,CNF,0.155528,-1
5,3CNF,0.298349,-1
5,VC1,0.03499,1
5,VC2,0.053192,1
5,VC1-REF,0.031159,1
5,VC2-REF,0.033416,1
5,CNF,0.143654,-1
5,3CNF,0.272914,-1
5,VC1,0.034203,1
5,VC2,0.053624,1
5,VC1-REF,0.029943,1
5,VC2-REF,0.064283,1
5,CNF,0.316269,-1
5,3CNF,0.599653,-1
5,VC1,0.035423,1
5,VC2,0.055375,1.33333
5,VC1-REF,0.03248,1
5,VC2-REF,0.052686,1
10,CNF,15.1262,-1
10,3CNF,16.2486,-1
10,VC1,0.052072,1
10,VC2,0.055009,1.6
10,VC1-REF,0.060264,1
10,VC2-REF,0.0541,1.2
10,CNF,14.4368,-1
10,3CNF,15.164,-1
10,VC1,0.052064,1
10,VC2,0.038337,1.6
10,VC1-REF,0.062413,1
10,VC2-REF,0.043275,1
10,CNF,13.1565,-1
10,3CNF,17.0435,-1
